key,group,p_value,ClinicalSignificance,signif_level
Pred: 0.001 (FPR),High,2.62960279051737e-257,Pathogenic,***
Pred: 0.001 (FPR),High,1.68300803386432e-23,Benign,***
Pred: 0.001 (FPR),Low,1.93524986733328e-59,Pathogenic,***
Pred: 0.001 (FPR),Low,0.936867057486287,Benign,N.S.
Pred: 0.001 (FPR),Mid,3.10113082570948e-36,Pathogenic,***
Pred: 0.001 (FPR),Mid,1.05193507130731e-12,Benign,***
Pred: 0.005 (FPR),High,0.936794545532032,Pathogenic,N.S.
Pred: 0.005 (FPR),High,0.0333804531878471,Benign,*
Pred: 0.005 (FPR),Low,5.82648428907739e-45,Pathogenic,***
Pred: 0.005 (FPR),Low,0.000122706331321168,Benign,***
Pred: 0.005 (FPR),Mid,7.44001210789445e-21,Pathogenic,***
Pred: 0.005 (FPR),Mid,2.18089496720478e-05,Benign,***
Pred: 0.01 (FPR),High,2.38656528223324e-12,Pathogenic,***
Pred: 0.01 (FPR),High,0.0101521868032583,Benign,*
Pred: 0.01 (FPR),Low,3.01595079905675e-33,Pathogenic,***
Pred: 0.01 (FPR),Low,0.00256621876372081,Benign,**
Pred: 0.01 (FPR),Mid,5.98606723120641e-42,Pathogenic,***
Pred: 0.01 (FPR),Mid,0.978801513005166,Benign,N.S.
Pred: 0.05 (FPR),High,1.2534345729024e-108,Pathogenic,***
Pred: 0.05 (FPR),High,2.01075528668358e-09,Benign,***
Pred: 0.05 (FPR),Low,0.428056074805978,Pathogenic,N.S.
Pred: 0.05 (FPR),Low,8.75713999500482e-08,Benign,***
Pred: 0.05 (FPR),Mid,6.56314937370504e-71,Pathogenic,***
Pred: 0.05 (FPR),Mid,0.283423309199426,Benign,N.S.
